Model,mAP50_95,mAP50,Precision,Recall,F1,Latency(ms/img),FPS
YOLOv11-last,0.5418186904024569,0.94540413456782,0.8828338972087796,0.9004527224978828,0.8907391042196422,71.33573293685913,14.018220025651416
YOLOv12-best,0.4330336616306356,0.8666626062507802,0.8488261677020935,0.7874298331523414,0.8158823696678771,71.42701745033264,14.00030458636129
