epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6074,1.3241,4.71328,1.41486,0.43089,0.54785,0.4771,0.37046,1.23556,3.95852,1.27533,3.90354e-05,3.90354e-05,3.90354e-05
2,33.1811,1.21732,3.11653,1.29791,0.92429,0.91644,0.9532,0.65917,1.29428,1.0545,1.32352,7.6817e-05,7.6817e-05,7.6817e-05
3,50.212,1.27818,1.53323,1.31399,0.94606,0.96137,0.97702,0.70524,1.20608,0.84712,1.28558,0.000113041,0.000113041,0.000113041
4,64.9974,1.19133,1.15651,1.26114,0.97721,0.95545,0.98591,0.72177,1.11543,0.72319,1.21351,0.000110991,0.000110991,0.000110991
5,79.4465,1.096,0.96674,1.23052,0.97857,0.98045,0.98822,0.71648,1.07737,0.64709,1.19927,0.000108654,0.000108654,0.000108654
6,95.5098,1.04901,0.89159,1.19784,0.97819,0.9841,0.99182,0.72862,1.05663,0.65983,1.18578,0.000106318,0.000106318,0.000106318
7,110.584,1.01474,0.81872,1.19662,0.97746,0.9901,0.99163,0.72521,1.04941,0.62556,1.17076,0.000103982,0.000103982,0.000103982
8,125.824,0.96721,0.77374,1.17164,0.97043,0.9868,0.99193,0.73258,1.05102,0.59286,1.16301,0.000101645,0.000101645,0.000101645
9,140.65,0.95145,0.72336,1.15788,0.9919,0.98313,0.99374,0.74109,1.02306,0.58045,1.15888,9.93088e-05,9.93088e-05,9.93088e-05
10,155.778,0.93355,0.7099,1.15372,0.97956,0.98092,0.99304,0.73746,1.01341,0.55656,1.15683,9.69724e-05,9.69724e-05,9.69724e-05
11,170.777,0.92446,0.69202,1.14832,0.98644,0.98059,0.99318,0.72737,1.03257,0.55521,1.17022,9.4636e-05,9.4636e-05,9.4636e-05
12,185.799,0.89575,0.66207,1.13635,0.9926,0.98777,0.99448,0.73334,1.0198,0.51714,1.16079,9.22996e-05,9.22996e-05,9.22996e-05
13,200.855,0.88117,0.64676,1.12351,0.98619,0.98924,0.99367,0.73782,1.01058,0.51717,1.15137,8.99632e-05,8.99632e-05,8.99632e-05
14,215.831,0.88156,0.63674,1.1269,0.988,0.9868,0.99361,0.73838,0.99388,0.52213,1.13477,8.76268e-05,8.76268e-05,8.76268e-05
15,230.751,0.87667,0.61733,1.11516,0.9869,0.98485,0.99378,0.74317,1.00368,0.52207,1.13087,8.52904e-05,8.52904e-05,8.52904e-05
16,245.763,0.85619,0.612,1.10652,0.99258,0.9868,0.99344,0.74026,1.00817,0.52489,1.13398,8.2954e-05,8.2954e-05,8.2954e-05
17,260.902,0.85571,0.59995,1.10583,0.98777,0.9901,0.99421,0.73058,1.01049,0.50034,1.13454,8.06176e-05,8.06176e-05,8.06176e-05
18,275.88,0.84509,0.59385,1.10408,0.99038,0.9901,0.99327,0.73226,1.00323,0.49225,1.13833,7.82812e-05,7.82812e-05,7.82812e-05
19,290.891,0.82815,0.57574,1.0929,0.98689,0.98837,0.99408,0.73118,1.0167,0.48063,1.14031,7.59448e-05,7.59448e-05,7.59448e-05
20,305.923,0.83522,0.57653,1.09375,0.98986,0.98845,0.99395,0.7328,1.01612,0.48594,1.14046,7.36084e-05,7.36084e-05,7.36084e-05
21,320.983,0.84915,0.57547,1.09685,0.995,0.9901,0.99437,0.73805,1.01157,0.48624,1.13036,7.1272e-05,7.1272e-05,7.1272e-05
22,336.009,0.82528,0.55998,1.08705,0.98913,0.99208,0.99478,0.73656,1.01631,0.48326,1.14411,6.89356e-05,6.89356e-05,6.89356e-05
23,352.049,0.8152,0.55781,1.08012,0.98706,0.9835,0.99349,0.72928,1.02711,0.47667,1.14878,6.65992e-05,6.65992e-05,6.65992e-05
24,367.745,0.81405,0.54409,1.07894,0.99215,0.98845,0.99404,0.73112,1.02364,0.47868,1.15149,6.42628e-05,6.42628e-05,6.42628e-05
25,382.836,0.81157,0.53947,1.08051,0.99362,0.99257,0.99488,0.728,1.03347,0.46423,1.14994,6.19264e-05,6.19264e-05,6.19264e-05
26,397.84,0.80102,0.53461,1.0735,0.99212,0.9868,0.99381,0.72811,1.05184,0.48025,1.16479,5.959e-05,5.959e-05,5.959e-05
27,412.915,0.80097,0.53305,1.07465,0.98625,0.98611,0.99296,0.72913,1.04855,0.47537,1.15738,5.72536e-05,5.72536e-05,5.72536e-05
28,427.994,0.79396,0.52295,1.06485,0.98623,0.98943,0.99325,0.73028,1.03023,0.4696,1.15044,5.49172e-05,5.49172e-05,5.49172e-05
29,443.035,0.79313,0.51649,1.06854,0.99039,0.98764,0.99209,0.72803,1.04022,0.45178,1.1533,5.25808e-05,5.25808e-05,5.25808e-05
30,458.094,0.79107,0.51425,1.06648,0.99041,0.98857,0.99313,0.72738,1.044,0.45376,1.15925,5.02444e-05,5.02444e-05,5.02444e-05
31,473.14,0.78947,0.51186,1.06453,0.99343,0.99505,0.99433,0.72939,1.02959,0.45186,1.1452,4.7908e-05,4.7908e-05,4.7908e-05
32,488.177,0.77024,0.50318,1.05475,0.98837,0.9934,0.99371,0.72799,1.02881,0.44539,1.14618,4.55716e-05,4.55716e-05,4.55716e-05
33,503.191,0.77668,0.5018,1.05614,0.99117,0.98917,0.9936,0.72624,1.05393,0.45248,1.17032,4.32352e-05,4.32352e-05,4.32352e-05
34,518.105,0.76379,0.49163,1.05184,0.99338,0.99291,0.99498,0.72323,1.0324,0.43974,1.15151,4.08988e-05,4.08988e-05,4.08988e-05
35,532.901,0.76637,0.49171,1.05511,0.98836,0.98845,0.99309,0.72605,1.03785,0.45241,1.15448,3.85624e-05,3.85624e-05,3.85624e-05
36,547.996,0.75612,0.48854,1.04798,0.99614,0.99209,0.99366,0.72801,1.03698,0.44116,1.15826,3.6226e-05,3.6226e-05,3.6226e-05
37,562.854,0.75744,0.4855,1.04788,0.99089,0.99069,0.99345,0.72605,1.03623,0.43996,1.15456,3.38896e-05,3.38896e-05,3.38896e-05
38,578.038,0.75928,0.48137,1.05067,0.98746,0.99393,0.99308,0.72795,1.03312,0.43834,1.15582,3.15532e-05,3.15532e-05,3.15532e-05
39,592.923,0.75441,0.48554,1.04755,0.9842,0.9875,0.98876,0.72602,1.04334,0.44124,1.15604,2.92168e-05,2.92168e-05,2.92168e-05
40,608.957,0.74913,0.47804,1.04397,0.98874,0.9934,0.99327,0.72586,1.03605,0.43547,1.15685,2.68804e-05,2.68804e-05,2.68804e-05
41,648.127,0.71208,0.47392,1.03912,0.98772,0.98914,0.99388,0.72211,1.05016,0.45723,1.16488,2.4544e-05,2.4544e-05,2.4544e-05
42,664.263,0.70725,0.42997,1.02834,0.99255,0.98735,0.99323,0.72368,1.03362,0.44705,1.15112,2.22076e-05,2.22076e-05,2.22076e-05
43,680.472,0.69072,0.41992,1.02402,0.99127,0.99252,0.99346,0.72409,1.03958,0.44103,1.1614,1.98712e-05,1.98712e-05,1.98712e-05
44,696.833,0.67998,0.41095,1.02879,0.9851,0.99084,0.99303,0.72083,1.04503,0.43514,1.16319,1.75348e-05,1.75348e-05,1.75348e-05
45,713.347,0.68111,0.40537,1.023,0.9853,0.99155,0.99157,0.7204,1.04576,0.44211,1.16397,1.51984e-05,1.51984e-05,1.51984e-05
46,729.722,0.67362,0.40564,1.00937,0.98621,0.99277,0.99326,0.72051,1.04329,0.4372,1.16611,1.2862e-05,1.2862e-05,1.2862e-05
47,745.843,0.66698,0.3963,1.00946,0.98621,0.99209,0.99431,0.72335,1.04118,0.43253,1.16237,1.05256e-05,1.05256e-05,1.05256e-05
48,762.278,0.6681,0.39553,1.01146,0.99033,0.99505,0.99492,0.71903,1.04224,0.42806,1.16741,8.1892e-06,8.1892e-06,8.1892e-06
49,778.462,0.65705,0.39167,1.01397,0.98733,0.99175,0.99279,0.71957,1.05099,0.43085,1.16961,5.8528e-06,5.8528e-06,5.8528e-06
50,794.857,0.65775,0.39596,1.0025,0.98711,0.99175,0.99267,0.72263,1.0464,0.42745,1.16833,3.5164e-06,3.5164e-06,3.5164e-06
